name,rating,numrev,goog_price,cuisine
Baker &amp; Co.,4.6,59,$$, Italian 
Bâtard,4.3,77,$$$, Modern European 
Racines NY,4.6,29,$$, French 
Awadh,4.3,48,$$, Indian 
Colonia Verde,4.7,34,$$, Latin American  
El Born,4.6,23,$$, Tapas  
Lucky Luna,3.8,19,$, Mexican  
Meadowsweet,4.6,39,$$$, New American  
Pickle Shack,4.4,33,$$, Bar 
Sushi Katsuei,4.7,52,$$, Sushi  
Houdini Kitchen Laboratory,4.2,65,$$, American  
Hatsuhana,4.4,107,$$$, Sushi 
Root &amp; Bone,4.2,126,$$, Southern  (US)
The Clocktower,4.6,29,$$$, New American 
Babbalucci,4.8,37,$$, Italian 
Chefs Club,4.5,43,$$$, Eclectic 
Tuome,4.5,31,$$, American 
Kiin Thai,3.9,48,$, Thai 
Haldi,4.2,24,$$, Indian 
Aldo Sohm Wine Bar,4.5,33,$$, Wine Bar
Faro,4.7,51,$$$, Italian  
Al Seabu,4.0,13,$, Malaysian  
Pier A,4.1,199,$$, Seafood 
Marta,4.3,117,$$, Pizza 
Houseman,4.2,11,$$$, American  
Krupa Grocery,4.4,41,$$, American  
Pippali,4.5,63,$$, Indian 
Sessanta,4.1,18,$$$, Italian 
Salt + Charcoal,3.8,33,$$$, Japanese  
Blenheim,4.2,22,$$, New American 
Via Carota,4.5,63,$$, Italian 
Tre Otto,3.6,20,$$, Italian 
Bocelli,4.3,42,$$, Italian  
Mario's,4.0,49,$$, Neapolitan  
cocoron,4.5,68,$$, Japanese 
Louie and Chan,4.3,39,$$, Italian 
Il Gattopardo,4.2,39,$$$, Neapolitan 
Le Fond,4.9,21,$$, French  
Anassa Taverna,3.7,27,$$$, Greek 
Kao Soy,4.4,28,$$, Thai  
Semilla,4.5,24,$$$$, American  
Au Za'atar,3.8,38,$$, Middle Eastern 
Bowery Meat Company,4.7,36,$$$, New American 
Noreetuh,4.6,43,$$, Hawaiian 
Little Park,4.3,61,$$$, American 
Dumpling Galaxy,4.2,31,$, Dumpling  
The Bao,4.3,107,$, Sichuan 
Donostia,4.4,25,$$, Basque 
Dirt Candy,4.4,133,$$$, Vegetarian 
Risotteria Melotti,4.6,37,$$, Italian 
Virginia's,4.6,19,$$$, American 
Wassail,4.4,34,$$, Gastropub
Loi Estiatorio,4.2,93,$$$, Greek 
Shuko,4.5,20,$$$$, Japanese 
O Ya,4.8,19,$$$$, Japanese 
Cosme,4.3,144,$$, Mexican 
Eugene &amp; Co.,4.6,31,$$, New American  
Untitled,4.2,58,$$$, American 
Gabriel Kreuther,4.4,43,$$$, Modern French 
The Finch,4.3,22,$$$, American  
