name,rev,price
Casa Enríque,"4.6
120 Google reviews",$$ · Mexican Restaurant · Long Island City
Caviar Russe,"4.3
19 Google reviews",$$$$ · New American Restaurant
Andanada,"4.2
44 Google reviews",$$$ · Spanish Restaurant
Carbone,"4.3
84 Google reviews",$$$$ · Italian Restaurant
Betony,"4.4
61 Google reviews",$$$ · New American Restaurant
The Musket Room,"4.6
53 Google reviews",$$ · New Zealand Restaurant
Uncle Boons,"4.5
101 Google reviews",$$ · Thai Restaurant
Ichimura,"4.8
21 Google reviews",$$$$ · Japanese Restaurant
ZZ's Clam Bar,"4.3
15 Google reviews",$$$ · Seafood Restaurant
Luksus at Tørst,"4.6
182 Google reviews",$ · Scandinavian Restaurant · Brooklyn
Piora,"4.7
33 Google reviews",$$$ · New American Restaurant
Take Root,None,$$$$ · American Restaurant · Brooklyn
M. Wells Steakhouse,"4.3
42 Google reviews",$$$ · Steak House · Long Island City
Cagen,"4.0
8 Google reviews",$$$ · Japanese Restaurant
Somtum Der,"4.3
97 Google reviews",$$ · Thai Restaurant
Hirohisa,"4.7
13 Google reviews",$$$ · Japanese Restaurant
The River Café,"4.2
338 Google reviews",$$$$ · American Restaurant · Brooklyn
Delaware and Hudson,"4.7
38 Google reviews",$$$ · American Restaurant · Brooklyn
Bâtard,"4.3
77 Google reviews",$$$ · Modern European Restaurant
Meadowsweet,"4.6
39 Google reviews",$$$ · New American Restaurant · Brooklyn
Semilla,"4.5
24 Google reviews",$$$$ · American Restaurant · Brooklyn
Gabriel Kreuther,"4.4
43 Google reviews",$$$ · Modern French Restaurant
The Finch,"4.2
22 Google reviews",$$$ · American Restaurant · Brooklyn
Rebelle,"4.5
22 Google reviews",$$$ · French Restaurant
Tempura Matsui,"4.1
10 Google reviews",$$$$ · Japanese Restaurant
Daniel,"4.5
510 Google reviews",$$$$ · French Restaurant
Del Posto,"4.4
331 Google reviews",$$$$ · Italian Restaurant
Tori Shin,"4.4
25 Google reviews",$$$$ · Japanese Restaurant
The Breslin,"4.2
347 Google reviews",$$$ · British Restaurant
Pachanga Patterson,"3.9
34 Google reviews",$$ · Mexican Restaurant · Astoria
Salt &amp; Fat,None,None
Maizal,"4.0
26 Google reviews",$$ · Mexican Restaurant · Staten Island
Colicchio &amp; Sons,"4.4
229 Google reviews",$$$ · Gastropub
Brushstroke,"4.5
65 Google reviews",$$$$ · Japanese Restaurant
Salinas,"4.4
82 Google reviews",$$$ · Spanish Restaurant
Graffiti,"4.3
95 Google reviews",$$$ · Asian Fusion Restaurant
Boulud Sud,"4.5
97 Google reviews",$$$ · Mediterranean Restaurant
Nougatine,"4.2
44 Google reviews",$$$ · French Restaurant
Liebman's,"4.3
60 Google reviews",$ · Kosher Restaurant · Bronx
Anella,"4.2
60 Google reviews",$$ · American Restaurant · Brooklyn
Bread &amp; Tulips,"4.1
22 Google reviews",$$ · Italian Restaurant
Kunjip,"3.3
266 Google reviews",$$ · Korean Restaurant
Rucola,"4.4
101 Google reviews",$$ · Italian Restaurant · Brooklyn
Saraghina,"4.4
197 Google reviews",$$ · Italian Restaurant · Brooklyn
Socarrat,None,None
Hot Kitchen,None,None
Prime &amp; Beyond New York,"4.4
17 Google reviews",Butcher Shop
Ramen Misoya,"4.5
91 Google reviews",$ · Ramen Restaurant
Mari Vanna,"4.2
137 Google reviews",$$$ · Russian Restaurant
Gradisca,"4.1
57 Google reviews",$$$ · Italian Restaurant
Il Buco Alimentari e Vineria,"4.2
96 Google reviews",$$$$ · Italian Restaurant
Left Bank,"4.3
31 Google reviews",$$$ · American Restaurant
Saxon + Parole,"4.3
112 Google reviews",$$$ · American Restaurant
Tertulia,"4.2
85 Google reviews",$$ · Spanish Restaurant
Settepani,"4.1
39 Google reviews",Mediterranean Restaurant
Casa Nonna,"4.4
93 Google reviews",$$ · Italian Restaurant
Chez Napoléon,"4.1
43 Google reviews",$$$ · French Restaurant
Don Antonio by Starita,None,Restaurant
Lan Sheng,"3.9
67 Google reviews",$$ · Sichuan Restaurant
Miss Korea,"4.1
240 Google reviews",$$ · Korean Barbecue Restaurant
pizzArte,"4.1
130 Google reviews",$$ · Italian Restaurant
Tang Pavilion,"4.0
61 Google reviews",$$ · Chinese Restaurant
Jungsik,"4.4
49 Google reviews",$$$$ · Korean Restaurant
Tiny's,"4.3
79 Google reviews",$$ · Bar
Andaz,"4.2
22 Google reviews",$$ · Restaurant
Café Mingala,"3.7
31 Google reviews",$$ · Burmese Restaurant
Fatty Fish,"4.2
49 Google reviews",$$ · Asian Fusion Restaurant
Elizabeth's Neighborhood Table,"4.2
53 Google reviews",$$ · American Restaurant
Vai,"4.3
38 Google reviews",$$ · Mediterranean Restaurant
Battersby,"4.4
53 Google reviews",$$$ · American Restaurant · Brooklyn
Black Swan,"3.9
150 Google reviews",$$ · American Restaurant · Brooklyn
Bozu,"4.4
103 Google reviews",$ · Sushi Restaurant · Brooklyn
Café Steinhof,"4.0
103 Google reviews",$$ · Austrian Restaurant · Brooklyn
Chavela's,"4.4
269 Google reviews",$$ · Mexican Restaurant
Forcella,"4.3
43 Google reviews",$$ · Pizza Restaurant
Hibino,None,None
Jolie Cantina,"3.9
44 Google reviews",$$ · Restaurant · Brooklyn
Mill Basin Kosher Delicatessen,"3.7
48 Google reviews",$$ · Deli · Brooklyn
Mtskheta Café,"4.5
22 Google reviews",$$ · Georgian Restaurant · Brooklyn
Roebling Tea Room,"3.7
150 Google reviews",$$ · Tea House · Brooklyn
The Saint Austere,"4.8
32 Google reviews",$$ · Wine Bar · Brooklyn
SoCo,"4.1
202 Google reviews",$$ · Southern Restaurant (US) · Brooklyn
Samurai Mama,"4.4
85 Google reviews",$$ · Japanese Restaurant · Brooklyn
St. Anselm,"4.5
125 Google reviews",$$ · Steak House · Brooklyn
Agnanti,"4.3
101 Google reviews",$$ · Greek Restaurant · Astoria
Alobar,"4.6
59 Google reviews",$$ · New American Restaurant · Long Island City
Co.,"4.2
172 Google reviews",$$ · Pizza Restaurant
Motorino,None,None
Inatteso Pizzabar Casano,"4.5
22 Google reviews",Pizza Restaurant
North End Grill,"4.5
80 Google reviews",$$$ · American Restaurant
Almayass,"4.5
65 Google reviews",$$ · Mediterranean Restaurant
Anjappar,"3.4
87 Google reviews",$$ · Indian Restaurant
NoMad,None,None
Kokum,"3.6
27 Google reviews",Restaurant
Acme,"3.8
111 Google reviews",$$$ · New American Restaurant
RedFarm,None,None
Bettolona,"4.1
38 Google reviews",$$ · Pizza Delivery
Jin Ramen,None,None
Café China,"4.4
206 Google reviews",$$ · Chinese Restaurant
Vitae,"4.6
40 Google reviews",$$ · American Restaurant
Añejo,"4.0
107 Google reviews",$$ · Mexican Restaurant
Benares,None,None
Hakkasan,"4.1
106 Google reviews",$$$$ · Chinese Restaurant
Kristalbelli,"4.2
48 Google reviews",$$$ · Korean Restaurant
Lugo,"4.1
46 Google reviews",$$ · Italian Restaurant
atera,"4.7
43 Google reviews",$$$$ · New American Restaurant
Zutto,"4.0
65 Google reviews",$$ · Japanese Restaurant
Yefsi,"4.6
21 Google reviews",$$$ · Greek Restaurant
Caffè Storico,"4.3
28 Google reviews",$$$ · Italian Restaurant
Allswell,"4.2
82 Google reviews",$$ · Gastropub · Brooklyn
Blanca,"4.9
14 Google reviews",$$$$ · New American Restaurant · Brooklyn
Bar Corvo,"4.2
51 Google reviews",$$ · Italian Restaurant · Brooklyn
Gran Eléctrica,"4.0
98 Google reviews",$$ · Mexican Restaurant · Brooklyn
Pok Pok Ny,"4.3
186 Google reviews",$$ · Thai Restaurant · Brooklyn
La Vara,"4.5
64 Google reviews",$$$ · Spanish Restaurant · Brooklyn
M Shanghai,"4.2
49 Google reviews",$$ · Shanghainese Restaurant · Brooklyn
Palo Santo,"4.2
69 Google reviews",$$ · Pan-Latin Restaurant
Petit Oven,"4.6
29 Google reviews",$$$ · Restaurant · Brooklyn
Talde,"4.1
89 Google reviews",$$$ · Pan-Asian Restaurant · Brooklyn
Casa Enríque,"4.6
120 Google reviews",$$ · Mexican Restaurant · Long Island City
Piccola Venezia,"4.6
50 Google reviews",$$$ · Italian Restaurant · Astoria
Foragers City Table,"4.4
73 Google reviews",$$$ · American Restaurant
Sauce,"3.9
74 Google reviews",$$ · Italian Restaurant
Yopparai,"4.4
23 Google reviews",$$$ · Japanese Restaurant
Speedy Romeo,None,None
Enoteca Maria,"4.2
61 Google reviews",$$$ · Italian Restaurant · Staten Island
Chop-Shop,"4.1
39 Google reviews",$$ · Restaurant
Jukai,"4.3
13 Google reviews",Japanese Restaurant
Land of Plenty,"4.0
45 Google reviews",$$ · Chinese Restaurant
Havana Café,None,None
Reynard,"4.1
49 Google reviews",$$$ · New American Restaurant
Asian Jewels,"4.1
114 Google reviews",$$ · Seafood Restaurant · Flushing
Basil Brick Oven Pizza,"4.7
51 Google reviews",$$ · Pizza Restaurant · Astoria
HinoMaru Ramen,"4.2
94 Google reviews",$ · Soul Food Restaurant · Astoria
Natural Tofu &amp; Noodles,"4.4
17 Google reviews",Korean Restaurant · Sunnyside
Bin 5,"4.9
13 Google reviews",Italian Restaurant · Staten Island
San Rasa,"4.4
35 Google reviews",Sri Lankan Restaurant · Staten Island
Bo Ky,"3.8
72 Google reviews",$ · Chinese Restaurant
Shanghai Heping,"3.7
51 Google reviews",$$ · Chinese Restaurant
Tabaré,"4.6
66 Google reviews",$ · Restaurant · Brooklyn
Corner Social,"3.9
131 Google reviews",$$ · American Restaurant
Norma's,"3.9
190 Google reviews",$$$ · Brunch Restaurant
Tavola,"4.2
108 Google reviews",$$$ · Italian Restaurant
Bistro SK,"4.2
14 Google reviews",$$$ · French Restaurant · Bronx
El Nuevo Bohío,"4.2
88 Google reviews",Puerto Rican Restaurant · Bronx
Mexicosina,"4.8
35 Google reviews",$$ · Mexican Restaurant · Bronx
A-Wah,"3.7
25 Google reviews",$$ · Chinese Restaurant
Feast,"4.5
384 Google reviews",$$$ · American Restaurant
L'Apicio,"4.2
36 Google reviews",$$$ · Italian Restaurant
Malai Marke,"4.3
59 Google reviews",$$ · Indian Restaurant
Mighty Quinn's,None,None
Bhatti,"4.1
169 Google reviews",$$ · Indian Restaurant
