name,rev,price
Sushi Dokku,"4.4
50 Google reviews",$$$ · Japanese Restaurant
En Hakkore,"4.6
76 Google reviews",Korean Restaurant
L' Patron,"4.4
31 Google reviews",Mexican Restaurant
Mott St.,"4.5
42 Google reviews",$$ · Asian Restaurant
Beatrix,"4.4
193 Google reviews",$$ · American Restaurant
Tre Soldi,"4.2
53 Google reviews",$$ · Italian Restaurant
La Sirena Clandestina,"4.3
57 Google reviews",$$ · Brazilian Restaurant
Taketei,"4.4
16 Google reviews",Restaurant
County,"4.3
73 Google reviews",$ · Barbecue Restaurant
NEXT,"4.8
73 Google reviews",$$$$ · Eclectic Restaurant
Kurah,"3.9
39 Google reviews",Mediterranean Restaurant
The Dawson,"4.2
86 Google reviews",$$ · Traditional American Restaurant
Nico Osteria,"4.3
64 Google reviews",$$$ · Italian Restaurant
Vora,"4.1
25 Google reviews",Taiwanese Restaurant
Dusek's (Board &amp; Beer),"4.4
116 Google reviews",$$$ · Bar
Gino's East,None,None
A10,"3.9
54 Google reviews",$$ · Italian Restaurant
42 Grams,"4.8
12 Google reviews",$$$$ · American Restaurant
TWO,"4.6
42 Google reviews",$$ · New American Restaurant
Fulton Market Kitchen,"4.1
37 Google reviews",$$$ · American Restaurant
Herb,"4.2
11 Google reviews",Fine Dining Restaurant
Masada,"4.1
66 Google reviews",Middle Eastern Restaurant
Osteria Langhe,"4.4
20 Google reviews",$$ · Italian Restaurant
Parachute,"4.1
45 Google reviews",$$ · Korean Restaurant
The Radler,"4.2
77 Google reviews",$$ · German Restaurant
Summer House Santa Monica,"4.0
117 Google reviews",$$ · American Restaurant
Bottlefork,"4.2
53 Google reviews",$$ · Bar & Grill
Celeste,"4.0
45 Google reviews",$$ · American Restaurant
Ramen-san,"4.1
174 Google reviews",$$ · Ramen Restaurant
Oak + Char,"4.5
26 Google reviews",$$ · American Restaurant
Salero,"4.5
24 Google reviews",$$ · Spanish Restaurant
RPM Steak,"4.4
101 Google reviews",$$$ · Steak House
High Five Ramen,"4.6
66 Google reviews",$ · Ramen Restaurant
ampersand wine bar,"4.1
7 Google reviews",$$ · New American Restaurant
Via Lima,"4.0
18 Google reviews",$$ · Peruvian Restaurant
Ixcateco Grill,"4.5
16 Google reviews",$$$ · Mexican Restaurant
The Blanchard,"4.3
12 Google reviews",$$$ · French Restaurant
Remington's,"4.4
45 Google reviews",$$$ · American Restaurant
NoMI Kitchen,"4.5
121 Google reviews",$$$ · American Restaurant
C Chicago,"4.1
24 Google reviews",$$$ · Seafood Restaurant
Gogi,"4.3
18 Google reviews",Korean Restaurant
Miku Sushi,"4.3
33 Google reviews",$$ · Japanese Restaurant
White Oak Tavern &amp; Inn,"4.0
12 Google reviews",$$ · American Restaurant
The Angry Crab,"4.3
180 Google reviews",$$ · Seafood Restaurant
Dove's Luncheonette,"4.5
83 Google reviews",$$ · Diner
Community Tavern,"4.6
27 Google reviews",$$$ · Steak House
mfk.,"4.5
26 Google reviews",$$ · Seafood Restaurant
Acanto,"4.3
26 Google reviews",$$ · Cocktail Bar
Ssyal Ginseng House,"4.3
27 Google reviews",Korean Restaurant
Bascule Wine Bar,"4.5
5 Google reviews",$$ · Wine Bar
Cochon Volant,"4.1
74 Google reviews",$$$ · French Restaurant
Labriola,None,None
The Kitchen,"4.5
49 Google reviews",$$ · American Restaurant
Momotaro,"4.5
83 Google reviews",$$$ · Japanese Restaurant
Honky Tonk BBQ,"4.3
166 Google reviews",$ · Barbecue Restaurant
Side Door,"4.3
34 Google reviews",$$ · Gastropub
Taste of Thai Town,"3.9
22 Google reviews",Asian Restaurant
Pearl's Southern Comfort,"4.4
43 Google reviews",$$ · Southern Restaurant (US)
de Quay,"4.5
14 Google reviews",$$ · Dutch Restaurant
Prime &amp; Provisions,"4.3
50 Google reviews",$$$$ · Steak House
Bohemian House,"4.6
70 Google reviews",$$ · European Restaurant
Friendship,"3.7
75 Google reviews",$$ · Chinese Restaurant
Dolce,"3.9
16 Google reviews",$$$ · Italian Restaurant
Arya Bhavan,"2.7
45 Google reviews",$$ · Indian Restaurant
Izakaya Mita,"4.5
27 Google reviews",$$ · Japanese Restaurant
Ahjoomah's Apron,"4.2
66 Google reviews",Korean Restaurant
Taus Authentic,"4.2
14 Google reviews",$$$ · New American Restaurant
Juno,"4.8
19 Google reviews",$$$ · Sushi Restaurant
Luella's Southern Kitchen,"4.3
76 Google reviews",$ · Southern Restaurant (US)
La Plena,"4.3
28 Google reviews",$ · Puerto Rican Restaurant
The Franklin Room,"4.8
56 Google reviews",$$ · American Restaurant
The Promontory,"4.2
142 Google reviews",$$$ · American Restaurant
Rural Society,"4.2
14 Google reviews",$$$ · Argentinian Restaurant
Les Nomades,"4.5
31 Google reviews",$$$$ · French Restaurant
Mana Food Bar,"4.5
113 Google reviews",$$ · Vegetarian Restaurant
Mercat a la Planxa,"4.0
162 Google reviews",$$$ · Spanish Restaurant
mk,"4.5
88 Google reviews",$$$ · New American Restaurant
Paramount Room,"4.1
70 Google reviews",$$ · Bar
Pho Xe Tang - Tank Noodle,"4.2
248 Google reviews",$$ · Vietnamese Restaurant
Ras Dashen,"4.2
94 Google reviews",$$ · Ethiopian Restaurant
Riva,"3.6
102 Google reviews",$$$ · Seafood Restaurant
The Rosebud,"4.4
130 Google reviews",$$ · Italian Restaurant
Sabri Nihari,"3.8
271 Google reviews",Pakistani Restaurant
